"Version","Trial","Alt","Participant","Selection","Goal","Form","Magnitude","Direction"
1,"1","1","R_0fIeZQLpYeksyEp",0,"90min","Donate","160","neg"
1,"1","2","R_0fIeZQLpYeksyEp",1,"60min","Cash","500","pos"
1,"1","3","R_0fIeZQLpYeksyEp",0,"SQ","SQ","SQ","SQ"
1,"2","1","R_0fIeZQLpYeksyEp",1,"90min","Cash","500","neg"
1,"2","2","R_0fIeZQLpYeksyEp",0,"60min","Donate","300","pos"
1,"2","3","R_0fIeZQLpYeksyEp",0,"SQ","SQ","SQ","SQ"
1,"3","1","R_0fIeZQLpYeksyEp",0,"30min","Donate","160","pos"
1,"3","2","R_0fIeZQLpYeksyEp",1,"90min","Cash","300","neg"
1,"3","3","R_0fIeZQLpYeksyEp",0,"SQ","SQ","SQ","SQ"
1,"4","1","R_0fIeZQLpYeksyEp",1,"30min","Cash","500","pos"
1,"4","2","R_0fIeZQLpYeksyEp",0,"60min","Donate","300","neg"
1,"4","3","R_0fIeZQLpYeksyEp",0,"SQ","SQ","SQ","SQ"
1,"5","1","R_0fIeZQLpYeksyEp",0,"90min","Voucher","160","pos"
1,"5","2","R_0fIeZQLpYeksyEp",1,"30min","Cash","300","neg"
1,"5","3","R_0fIeZQLpYeksyEp",0,"SQ","SQ","SQ","SQ"
1,"6","1","R_0fIeZQLpYeksyEp",1,"30min","Cash","500","neg"
1,"6","2","R_0fIeZQLpYeksyEp",0,"90min","Voucher","300","pos"
1,"6","3","R_0fIeZQLpYeksyEp",0,"SQ","SQ","SQ","SQ"
1,"7","1","R_0fIeZQLpYeksyEp",0,"30min","Donate","300","neg"
1,"7","2","R_0fIeZQLpYeksyEp",1,"60min","Voucher","160","pos"
1,"7","3","R_0fIeZQLpYeksyEp",0,"SQ","SQ","SQ","SQ"
1,"8","1","R_0fIeZQLpYeksyEp",0,"90min","Donate","300","pos"
1,"8","2","R_0fIeZQLpYeksyEp",0,"30min","Voucher","160","neg"
1,"1","1","R_10GzC0XXUaKyIVo",0,"90min","Donate","160","neg"
1,"1","2","R_10GzC0XXUaKyIVo",1,"60min","Cash","500","pos"
1,"1","3","R_10GzC0XXUaKyIVo",0,"SQ","SQ","SQ","SQ"
1,"2","1","R_10GzC0XXUaKyIVo",1,"90min","Cash","500","neg"
1,"2","2","R_10GzC0XXUaKyIVo",0,"60min","Donate","300","pos"
1,"2","3","R_10GzC0XXUaKyIVo",0,"SQ","SQ","SQ","SQ"
1,"3","1","R_10GzC0XXUaKyIVo",0,"30min","Donate","160","pos"
1,"3","2","R_10GzC0XXUaKyIVo",1,"90min","Cash","300","neg"
1,"3","3","R_10GzC0XXUaKyIVo",0,"SQ","SQ","SQ","SQ"
1,"4","1","R_10GzC0XXUaKyIVo",1,"30min","Cash","500","pos"
1,"4","2","R_10GzC0XXUaKyIVo",0,"60min","Donate","300","neg"
1,"4","3","R_10GzC0XXUaKyIVo",0,"SQ","SQ","SQ","SQ"
1,"5","1","R_10GzC0XXUaKyIVo",0,"90min","Voucher","160","pos"
1,"5","2","R_10GzC0XXUaKyIVo",1,"30min","Cash","300","neg"
1,"5","3","R_10GzC0XXUaKyIVo",0,"SQ","SQ","SQ","SQ"
1,"6","1","R_10GzC0XXUaKyIVo",1,"30min","Cash","500","neg"
1,"6","2","R_10GzC0XXUaKyIVo",0,"90min","Voucher","300","pos"
1,"6","3","R_10GzC0XXUaKyIVo",0,"SQ","SQ","SQ","SQ"
1,"7","1","R_10GzC0XXUaKyIVo",0,"30min","Donate","300","neg"
1,"7","2","R_10GzC0XXUaKyIVo",1,"60min","Voucher","160","pos"
1,"7","3","R_10GzC0XXUaKyIVo",0,"SQ","SQ","SQ","SQ"
1,"8","1","R_10GzC0XXUaKyIVo",0,"90min","Donate","300","pos"
1,"8","2","R_10GzC0XXUaKyIVo",1,"30min","Voucher","160","neg"
1,"8","3","R_10GzC0XXUaKyIVo",0,"SQ","SQ","SQ","SQ"
1,"1","1","R_11gpXdnfYR7gCnV",0,"90min","Donate","160","neg"
1,"1","2","R_11gpXdnfYR7gCnV",1,"60min","Cash","500","pos"
1,"1","3","R_11gpXdnfYR7gCnV",0,"SQ","SQ","SQ","SQ"
1,"2","1","R_11gpXdnfYR7gCnV",0,"90min","Cash","500","neg"
1,"2","2","R_11gpXdnfYR7gCnV",1,"60min","Donate","300","pos"
1,"2","3","R_11gpXdnfYR7gCnV",0,"SQ","SQ","SQ","SQ"
1,"3","1","R_11gpXdnfYR7gCnV",1,"30min","Donate","160","pos"
1,"3","2","R_11gpXdnfYR7gCnV",0,"90min","Cash","300","neg"
1,"3","3","R_11gpXdnfYR7gCnV",0,"SQ","SQ","SQ","SQ"
1,"4","1","R_11gpXdnfYR7gCnV",1,"30min","Cash","500","pos"
1,"4","2","R_11gpXdnfYR7gCnV",0,"60min","Donate","300","neg"
1,"4","3","R_11gpXdnfYR7gCnV",0,"SQ","SQ","SQ","SQ"
1,"5","1","R_11gpXdnfYR7gCnV",0,"90min","Voucher","160","pos"
1,"5","2","R_11gpXdnfYR7gCnV",1,"30min","Cash","300","neg"
1,"5","3","R_11gpXdnfYR7gCnV",0,"SQ","SQ","SQ","SQ"
1,"6","1","R_11gpXdnfYR7gCnV",1,"30min","Cash","500","neg"
1,"6","2","R_11gpXdnfYR7gCnV",0,"90min","Voucher","300","pos"
1,"6","3","R_11gpXdnfYR7gCnV",0,"SQ","SQ","SQ","SQ"
1,"7","1","R_11gpXdnfYR7gCnV",1,"30min","Donate","300","neg"
