"ID","DCE1.mono","DCE2.mono","DCE3.mono","duration","DCE1.4","DCE1.5","DCE1.6","DCE1.7","DCE1.8","DCE1.9","DCE1.10","DCE1.11","DCE1.12","DCE1.13","DCE1.14","DCE1.15","DCE1.16","DCE1.17","DCE1.18","DCE1.19","DCE1.20","DCE1.21","DCE1.22","DCE1.23","DCE1.24","DCE1.25","DCE1.26","DCE1.27","DCE2.4","DCE2.5","DCE2.6","DCE2.7","DCE2.8","DCE2.9","DCE2.10","DCE2.11","DCE2.12","DCE2.13","DCE2.14","DCE2.15","DCE2.16","DCE2.17","DCE2.18","DCE2.19","DCE2.20","DCE2.21","DCE2.22","DCE2.23","DCE2.24","DCE2.25","DCE2.26","DCE2.27","DCE3.4","DCE3.5","DCE3.6","DCE3.7","DCE3.8","DCE3.9","DCE3.10","DCE3.11","DCE3.12","DCE3.13","DCE3.14","DCE3.15","DCE3.16","DCE3.17","DCE3.18","DCE3.19","DCE3.20","DCE3.21","DCE3.22","DCE3.23","DCE3.24","DCE3.25","DCE3.26","DCE3.27","risk1_1","risk1_2","risk1_3","risk1_4","risk1_5","risk1_6","risk1_7","risk1_8","risk1_9","risk1_10","risk1_11","risk1_12","loss1_1","loss1_2","loss1_3","loss1_4","loss1_5","loss1_6","loss1_7","loss1_8","loss1_9","loss1_10","loss1_11","loss1_12","risk2_1","risk2_2","risk2_3","risk2_4","risk2_5","risk2_6","risk2_7","risk2_8","risk2_9","risk2_10","risk2_11","risk2_12","loss2_1","loss2_2","loss2_3","loss2_4","loss2_5","loss2_6","loss2_7","loss2_8","loss2_9","loss2_10","loss2_11","loss2_12","breq3_id1","breq3_id2","breq3_id3","breq3_id4","breq3_amov1","breq3_amov2","breq3_amov3","breq3_amov4","breq3_intrins1","breq3_intrins2","breq3_intrins3","breq3_intrins4","breq3_intro1","breq3_intro2","breq3_intro3","breq3_intro4","breq3_integ1","breq3_integ2","breq3_integ3","breq3_integ4","breq3_ext1","breq3_ext2","breq3_ext3","breq3_ext4","VigDays","VigHours","VigMin","VigDK","ModDays","ModHours","ModMin","ModDK","WalkDays","WalkHours","WalkMin","WalkDK","SitHours","SitMin","SitDK","PA_typical","joint_study","NICE_age","NICE_pain","NICE_activity","NICE_stiffness","NICE_stiffness_min","pain_NRS","function_NRS","hipL","hipR","ankleL","ankleR","kneeL","kneeR","footL","footR","DOB","enddate","gender","height","weight","employed","income","household","state"
"42d4da34-0148-27d0-de78-edff2676d6e6",NA,"2",NA,"439",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"1","1","1",NA,"2",NA,"1","1","1",NA,"2",NA,"1","1","1",NA,"2",NA,"1","2",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","5","5","5","5","5","5","5","5","5","5","5","6","5","4","6","5","5","5","6","5","5","5","5","4","3","25",NA,"4","4","25",NA,"3","7","34",NA,"6","30",NA,"3","1","4","1","1","1","4","7","7","1",NA,NA,NA,NA,NA,NA,NA,"15/03/1968","2/10/2020 19:48","2","511","75","2","1","1","6"
"70eb830e-167e-76af-e142-b4c0d97881c2",NA,NA,"2","721",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"1","1","1",NA,"1","1",NA,"2",NA,"1","1","1",NA,"2",NA,"1","2",NA,"1","2",NA,"1","1","1","1","1","1","2",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","6","6","4","1","1","1","1","5","6","6","6","6","5","6","6","5","5","5","5","3","1","1","1","0",NA,NA,NA,"0",NA,NA,NA,"7",NA,NA,"1",NA,NA,"1","1","5","4","1","1","1","4","5","3",NA,NA,"1","1",NA,NA,"1",NA,"29/10/1949","2/10/2020 19:51","1","168","66","2","2","1","6"
"8e42e428-ea84-4c2b-4864-d3690120ffe8",NA,"2",NA,"495",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"2",NA,"1","1","1",NA,"1","1",NA,"2",NA,"1","2",NA,"1","2",NA,"1","2",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","6","1","1","1","1","1","1","1","1","6","1","6","1","1","1","1","1","1","1","1","1","0",NA,NA,NA,"0",NA,NA,NA,"1",NA,"5",NA,NA,NA,"1","1","4","4","1","1","1","4","7","8",NA,NA,NA,NA,"1","1",NA,NA,"12/5/1968","2/10/2020 19:52","2","194","107","2","3","2","4"
"a1f0075c-2f51-fc77-fa10-30db9666f994","2",NA,NA,"708","2",NA,"1","1","1",NA,"2",NA,"1","1","1",NA,"2",NA,"1","1","1",NA,"2",NA,"1","2",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","5","1","6","6","1","6","6","1","6","6","1","6","3","4","4","6","1","6","6","5","4","5","6","1","5",NA,"30",NA,"5",NA,"30",NA,"7",NA,"25",NA,"4",NA,NA,"1","6","4","1","1","1","5","5","5",NA,NA,NA,NA,NA,"1","1",NA,"13/05/1969","2/10/2020 19:54","1","167","66","1","5","2","4"
"d2bb5a02-c0f4-ad5b-b14e-6d90079757c9",NA,NA,"2","914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"1","2",NA,"1","1","1",NA,"2",NA,"1","1","1",NA,"2",NA,"1","1","1",NA,"2",NA,"1","1","1","1","1","1","1","1","2",NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","4","4","3","3","3","5","4","3","3","3","4","4","4","4","3","4","3","1","4","4","4","4","4","0",NA,NA,NA,"0",NA,NA,NA,"6",NA,"30",NA,"7","420",NA,"1","7","4","1","1","1","5","7","7",NA,NA,"1","1",NA,NA,"1","1","15/08/1955","2/10/2020 19:54","1","165","66","2","3","2","1"
"eb456145-87ec-dcc8-4f09-566ed6932e90",NA,NA,"2","583",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"1","1","1",NA,"1","1",NA,"2",NA,"1","2",NA,"1","2",NA,"1","2",NA,"2","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","6","6","6","1","1","1","1","4","5","5","6","5","6","6","6","6","6","6","6","1","1","1","1","3",NA,"20",NA,"7","1",NA,NA,"7",NA,"20",NA,"1",NA,NA,"1","3","4","1","4","1","4","6","8",NA,"1",NA,NA,"1",NA,NA,NA,"21/07/1969","2/10/2020 19:54","1","154","43","2","6","2","1"
"fe27ec0c-4af3-0527-2d40-db0cd9f8dcc8","2",NA,NA,"995","2",NA,"1","1","2",NA,"2",NA,"2","1","1",NA,"2",NA,"2","1","1",NA,"1","2",NA,"2",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","4","5","3","1","3","1","1","3","4","5","5","3","3","3","3","1","3","4","3","3","1","1","1","1",NA,"30",NA,"2","1",NA,NA,"5",NA,"20",NA,"6",NA,NA,"1","6","4","1","1","3",NA,"5","2",NA,NA,NA,NA,"1",NA,"1",NA,"16/04/1964","2/10/2020 19:54","1","158","81","2","1","2","1"
"6f0ac16b-aeeb-37d7-0027-f621bf80b8b2",NA,"2",NA,"960",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"2",NA,"1","1","1",NA,"1","1",NA,"1","1",NA,"2",NA,"1","1","1",NA,"2",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","2",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,"1","5","4","4","1","1","1","4","7","7",NA,NA,NA,NA,"1","1",NA,NA,"24/12/1972","2/10/2020 19:55","1","165","60","2","3","2","6"
"d0fd5052-c0b3-939b-f71e-67d6e94ad790","2",NA,NA,"831","2",NA,"1","1","1",NA,"1","2",NA,"1","1",NA,"1","2",NA,"1","1",NA,"2",NA,"2","2",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","4","5","1","1","1","1","1","5","5","4","4","4","1","1","1","5","4","5","5","1","1","1","1","0",NA,NA,NA,"0",NA,NA,NA,"7",NA,"30",NA,"50",NA,NA,"1","4","4","1","4","3",NA,"3","4",NA,"1",NA,NA,NA,"1",NA,NA,"1/6/1959","2/10/2020 19:56","2","180","85","1","5","2","5"
"d9db3f92-9a2e-ff1e-d1de-08f027154c58","2",NA,NA,"808","2",NA,"1","1","1",NA,"2",NA,"1","1","1",NA,"2",NA,"1","1","1",NA,"2",NA,"1","2",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","1","1","2",NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","6","6","6","1","6","6","6","5","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","4","4","240",NA,"0",NA,NA,NA,"7","1","60",NA,"5","300",NA,"5","6","4","1","1","1","4","7","7",NA,NA,NA,NA,NA,NA,"1","1","9/5/1965","2/10/2020 19:56","2","101","97","2","2","2","1"
